13 [pool-1-thread-1] ERROR com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - ERROR: error test
15 [pool-1-thread-1] INFO com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - INFO: info test
15 [pool-1-thread-1] INFO com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - INFO: info test
16 [pool-1-thread-1] TRACE com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - TRACE: trace test
16 [pool-1-thread-1] TRACE com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - TRACE: trace test
16 [pool-1-thread-1] TRACE com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - TRACE: trace test
17 [pool-1-thread-1] WARN com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - WARN: warn test
17 [pool-1-thread-1] WARN com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - WARN: warn test
17 [pool-1-thread-1] WARN com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - WARN: warn test
17 [pool-1-thread-1] WARN com.gmail.alexace013.simple.calc.logger.Log4JWrapper  - WARN: warn test
